Node name,Node pack name,Display Name,Simple Name,Long docstring,Short docstring,Tags,Icon
SaveText_pysssss,ComfyUI-Custom-Scripts,Save Text 🐍,Text Saver,"The SaveText node is designed for writing text to a file, with options to append to an existing file or create a new one. It abstracts file handling operations, allowing users to easily save text data without dealing with low-level file system details.","Write text to a file, with append option.","['Output', 'Text', 'Text']",square-pen
Automatic CFG - Preset Loader,ComfyUI-AutomaticCFG,Automatic CFG - Preset Loader,Preset Configuration Manager,"This node is designed to dynamically adjust the configuration of generative models by applying predefined or custom presets. It enhances model performance and flexibility by allowing users to modify model behavior based on specific presets, which can include adjustments to conditional and unconditional generation parameters, attention mechanisms, and other model-specific settings.",Adjust generative model configuration dynamically.,"['Model', 'Manipulation', 'ModelGuidance']",gears
Automatic CFG,ComfyUI-AutomaticCFG,Automatic CFG,Dynamic Model Optimizer,"The Automatic CFG node is designed to dynamically modify the configuration of models to optimize their performance for specific tasks. It leverages advanced techniques to adjust model parameters and settings based on the input conditions, aiming to enhance model accuracy, speed, or other performance metrics.",Dynamically optimize model configurations for specific tasks.,"['Model', 'Manipulation', 'ModelGuidance']",diagram-project
Automatic CFG - Post rescale only,ComfyUI-AutomaticCFG,Automatic CFG - Post rescale only,Image Feature Balancer,"This node applies a post-conditional generative feedback (CFG) rescaling operation to adjust the balance between the original and degraded image features based on a scaling factor derived from the difference between the original and a secondary image (sag). It dynamically adjusts the scaling of the added CFG effect, aiming to enhance image restoration or modification tasks by recalibrating the intensity of changes applied to the original image, ensuring a more controlled and precise enhancement.",Adjust balance between original and degraded image features.,"['Diffusion', 'Transformation and Normalization']",file-image
Automatic CFG - Unpatch function,ComfyUI-AutomaticCFG,Automatic CFG - Unpatch function(Deprecated),Restore Original Model Configuration,"This node is designed to revert any previously applied configuration patches to a model, effectively restoring it to its original state without the specific adjustments made for automatic control flow graph (CFG) manipulation.","Revert model to original state, removing CFG patches.","['Model', 'Manipulation', 'ModelGuidance']",arrows-rotate
Automatic CFG - Warp Drive,ComfyUI-AutomaticCFG,Automatic CFG - Warp Drive,Dynamic CFG Optimizer (Adv.),"This node engages an advanced configuration for dynamic control flow graph (CFG) modification in a 'Warp Drive' mode, aimed at maximizing the speed and efficiency of model adjustments. It suggests settings for different levels of risk and performance, emphasizing speed and experimental adjustments for clearer subject prompts or general use.",Modify CFG dynamically for speed and efficiency.,"['Model', 'Manipulation', 'ModelGuidance']",microchip
Automatic CFG - Attention modifiers tester,ComfyUI-AutomaticCFG,Automatic CFG - Attention modifiers tester,Attention Modifier Tester,"This node is designed to test and apply various attention modifier configurations to computational graph models, specifically focusing on enhancing or altering the attention mechanisms within these models. It aims to experiment with different attention modification strategies to optimize model performance or behavior.",Test and apply attention modifiers to models.,"['Model', 'Manipulation', 'ModelGuidance']",bullhorn
Automatic CFG - Custom attentions,ComfyUI-AutomaticCFG,Automatic CFG - Custom attentions,Attention Combiner,"This node is designed to concatenate attention modifier parameters from two sources, creating a unified set of parameters for further processing. It serves as a utility within the context of configuring or enhancing model attention mechanisms, particularly in scenarios requiring the combination of distinct attention modification strategies.",Concatenate attention modifier parameters from two sources.,"['Model', 'Manipulation', 'ModelTuning']",shapes
Automatic CFG - Negative,ComfyUI-AutomaticCFG,Automatic CFG - Negative,Suppress Features Generator (Adv.),"This node is designed to modify the behavior of generative models by applying conditional fine-grained control, specifically targeting the enhancement or suppression of certain features or themes within the generated content. It leverages advanced dynamic configuration techniques to adjust the model's output based on specified negative conditions, aiming to refine the generation process and output quality.",Modify generative models for feature control.,"['Model', 'Manipulation', 'ModelGuidance']",dice-three
Automatic CFG - Attention modifiers,ComfyUI-AutomaticCFG,Automatic CFG - Attention modifiers,Attention Enhancer (Adv.),"This node encompasses a suite of functionalities aimed at modifying and enhancing the attention mechanisms within generative models. It provides a variety of methods to adjust attention parameters dynamically, apply custom attention patches, and manipulate attention layers for improved model performance and customization. The node's capabilities allow for experimental and targeted modifications to the model's attention mechanisms, facilitating advanced configuration and optimization of generative processes.",Modify and enhance generative models' attention mechanisms.,"['Model', 'Manipulation', 'ModelTuning']",brain
Automatic CFG - Excellent attention,ComfyUI-AutomaticCFG,Automatic CFG - Excellent attention,Dynamic Attention Optimizer,"This node specializes in dynamically configuring a model's attention mechanism to enhance its performance. It applies a series of attention modifiers based on various conditions, including positive, negative, and global modifiers, to optimize the model's focus and processing capabilities. This customization allows for improved effectiveness in generating or interpreting data by adjusting the model's attention in response to specific scenarios.",Dynamically configure model's attention for enhanced performance.,"['Model', 'Manipulation', 'ModelTuning']",user-gear
Automatic CFG - Advanced,ComfyUI-AutomaticCFG,Automatic CFG - Advanced,Dynamic Attention Tuner (Adv.),"This node represents an advanced configuration mechanism for dynamically adjusting the computational graph of models, particularly focusing on enhancing or modifying attention mechanisms within neural networks. It provides a sophisticated interface for applying custom modifications to the attention layers, enabling fine-tuned control over model behavior and performance.",Adjust computational graph and modify attention mechanisms.,"['Model', 'Manipulation', 'ModelGuidance']",circle-nodes
NaiveAutoKMeansColor,comfyui_bmad_nodes,NaiveAutoKMeansColor,Auto Color Quantizer,"This node is designed to automatically determine the optimal number of colors for K-means clustering on an image, and then apply the K-means algorithm to segment the image into these colors. It simplifies the process of color quantization by abstracting away the need for manual specification of the number of clusters, making it easier to use for tasks such as image simplification or color analysis.",Automatically segment images using optimal K-means clustering.,"['Image', 'Color and Channels', 'Color']",file-image
FromListGetLatents,comfyui_bmad_nodes,FromListGetLatents,Latent Selector,"The node 'FromListGetLatents' is designed to extract multiple latent representations from a provided list. It enables the selection and manipulation of latent data structures, facilitating operations such as retrieval, analysis, and transformation of latent vectors.",Extract and manipulate latent representations from lists.,"['Diffusion', 'Latent', 'Latent']",object-ungroup
FromListGetModels,comfyui_bmad_nodes,FromListGetModels,List Model Extractor,"The node is designed to extract a single model from a list of models based on a specified index. It enables selective retrieval of models from a collection, facilitating operations that require individual model processing.",Extract single model from list by index.,"['Model', 'Manipulation']",subscript
DistanceTransform,comfyui_bmad_nodes,DistanceTransform,Distance Map Generator,"The DistanceTransform node applies a distance transform to a binary image, converting it into a grayscale image where each pixel's intensity represents its distance to the nearest background pixel. It supports various distance types and mask sizes, allowing for customization of the distance calculation.",Apply distance transform to binary images.,"['Image', 'Image Transformation and Manipulation', 'ImageThresholding']",braille
ConvertImg,comfyui_bmad_nodes,ConvertImg,Image Format Converter,"The ConvertImg node is designed for explicit image format conversion within a custom node environment, facilitating direct transformations between different image color spaces without resorting to workarounds.",Convert image formats and color spaces directly.,"['Image', 'Image Transformation and Manipulation']",photo-film
ToColorList,comfyui_bmad_nodes,ToColorList,Color Data Organizer,"The `ToColorList` node is designed to transform a collection of color-related data into a structured list format, specifically tailored for handling color information. This node facilitates the organization and manipulation of color data, making it easier to process and utilize in various computational color analysis and manipulation tasks.",Transform color data into structured list format.,"['Image', 'Color and Channels', 'Color']",table-list
BoundingRect (contours),comfyui_bmad_nodes,BoundingRect (contours),Contour Bounding Box,This node calculates the bounding rectangle of a contour. It is designed to provide a simple way to obtain the smallest rectangle that can fully enclose a contour. This functionality is crucial for various computer vision tasks where understanding the spatial extent of objects within an image is necessary.,Calculate smallest enclosing rectangle for contours.,"['Detectors', 'Utils', 'BoundingBox']",ruler-combined
ImageBatchToList,comfyui_bmad_nodes,ImageBatchToList,Batch Images To List,"The node is designed to convert a batch of images into a list format, facilitating operations that require individual image processing or manipulation within a batch context. It abstracts the complexity of handling batches of images, making it easier to apply transformations or analyses on each image separately.",Convert batch of images into list format.,"['Image', 'Base', 'Image']",images
RemapToInnerCylinder,comfyui_bmad_nodes,RemapToInnerCylinder,Cylinder Perspective Mapper,"The RemapToInnerCylinder node is designed to transform an image by mapping it onto an inner cylinder, adjusting the field of view and optionally swapping the x and y coordinates based on the provided parameters. This node is part of a suite of remapping functionalities that manipulate images to simulate various perspectives and distortions.",Transform image onto an inner cylinder with adjustments.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",vector-square
FromListGetFloats,comfyui_bmad_nodes,FromListGetFloats,List Float Extractor,"The `FromListGetFloats` node is designed to retrieve a specific float value from a list of floats based on the provided index. It enables random access within a list, including the ability to use negative indices for reverse access, thereby enhancing flexibility in data manipulation.",Retrieve specific float from list by index.,"['Data', 'Data Conversion and Manipulation', 'DataConversion']",magnifying-glass-chart
HypernetworkLoader (dirty),comfyui_bmad_nodes,HypernetworkLoader (dirty),Hypernetwork Model Enhancer,"The HypernetworkLoader node is designed to enhance or modify the capabilities of a given model by applying a hypernetwork patch. This process involves loading a specified hypernetwork and applying it to the model with a certain strength, thereby potentially altering the model's behavior or performance based on the characteristics of the hypernetwork.",Apply hypernetwork patches to models.,"['Model', 'Loading', 'Loader']",code-merge
CreateRequestMetadata,comfyui_bmad_nodes,CreateRequestMetadata,Request Metadata Manager,"The CreateRequestMetadata node is designed for managing metadata related to request processing within a system. It facilitates the creation, update, and retrieval of request metadata, including the addition of resources to a request's metadata file. This node plays a crucial role in tracking the state and outputs of requests, ensuring that each request's information is accurately recorded and maintained throughout its lifecycle.",Manage and track request metadata lifecycle.,"['Data', 'Data Conversion and Manipulation']",arrows-rotate
FromListGetStrings,comfyui_bmad_nodes,FromListGetStrings,Extract String From List,"This node is designed to retrieve a specific string from a list of strings based on a given index. It abstracts the process of accessing list elements, allowing for both direct and reverse indexing, thereby enhancing the flexibility and ease of manipulating lists of strings within a workflow.",Retrieve specific string from list by index.,"['Data', 'Data Conversion and Manipulation']",rectangle-list
CLIPEncodeMultipleAdvanced,comfyui_bmad_nodes,CLIPEncodeMultipleAdvanced,Batch Text Encoder (Adv.),"This node is designed for advanced text encoding using the CLIP model, capable of processing multiple inputs simultaneously. It extends the functionality of a standard CLIP text encoding by allowing for a customizable number of inputs, each potentially undergoing a unique encoding process based on token normalization and weight interpretation. The node is optimized for scenarios requiring batch processing of text inputs for conditioning generation models, making it a versatile tool in the generation of conditioned outputs.",Advanced text encoding with customizable batch processing.,"['Diffusion', 'CLIP', 'CLIP']",bootstrap
CLIPEncodeMultiple,comfyui_bmad_nodes,CLIPEncodeMultiple,Multi-Text Encoder,"The CLIPEncodeMultiple node is designed to encode multiple text inputs into a conditioning format using a CLIP model. It iterates over a specified number of inputs, encoding each one separately and aggregating the results into a list of conditionings. This node is useful for scenarios where multiple textual descriptions need to be encoded in parallel and then utilized for further processing or generation tasks.",Encode multiple texts using CLIP model.,"['Diffusion', 'CLIP', 'CLIP']",paperclip
Draw Contour(s),comfyui_bmad_nodes,Draw Contour(s),Contour Visualizer,"The DrawContours node is designed for visualizing contours on images by drawing them over the input image. It allows for selective contour visualization and customization of the contour appearance, such as color and thickness, enhancing the interpretability of contour-based analyses in computer vision tasks.",Visualize and customize contours on images.,"['Detectors', 'Utils', 'Contour']",chart-area
FromListGetInts,comfyui_bmad_nodes,FromListGetInts,Get Integer From List,"The `FromListGetInts` node is designed to extract a single integer value from a list of integers based on a specified index. It enables random access within a list, allowing for both direct indexing and reverse access through negative indices, thereby facilitating flexible data retrieval from integer lists.",Extract integer from list by index.,"['Data', 'Data Conversion and Manipulation']",subscript
ExtendIntList,comfyui_bmad_nodes,ExtendIntList,Concatenate Integer Lists,"The ExtendIntList node is designed to concatenate multiple lists of integers into a single, extended list. This functionality is useful in scenarios where aggregation of integer data from various sources is required, enabling seamless data manipulation and analysis.",Concatenate multiple integer lists into one.,"['Data', 'Data Conversion and Manipulation']",list-ol
SampleColorHSV,comfyui_bmad_nodes,SampleColorHSV,Color Sampler (HSV),This node is designed to sample pixels from an RGB image and convert these samples into the HSV color space. It aims to facilitate color analysis and processing by providing a representative subset of the image's color distribution in HSV format.,"Sample RGB pixels, convert to HSV.","['Image', 'Color and Channels', 'Color']",unsplash
FromListGet1String,comfyui_bmad_nodes,FromListGet1String,List String Extractor By Index,"This node is designed to retrieve a single string element from a list based on a specified index. It allows for flexible access to list elements, including support for negative indexing to access elements from the end of the list.",Retrieve string element from list by index.,"['Data', 'Data Conversion and Manipulation']",rectangle-list
UnGridify (image),comfyui_bmad_nodes,UnGridify (image),Image Grid Separator,"The UnGridify (image) node is designed to deconstruct a grid of images into its individual tiles. It takes an image composed of a grid layout and separates it into distinct image tiles based on specified row and column parameters, facilitating the manipulation or analysis of each tile independently.",Deconstruct image grids into individual tiles.,"['Image', 'Image Transformation and Manipulation']",border-all
FlatLatentsIntoSingleGrid,comfyui_bmad_nodes,FlatLatentsIntoSingleGrid,Latent Batch Gridifier,"The FlatLatentsIntoSingleGrid node is designed to transform a batch of latent representations into a single, larger grid layout. This process involves rearranging individual latent samples into a grid pattern, effectively creating a single, unified latent representation that encapsulates the entire batch. This node is particularly useful in scenarios where spatial arrangement of latent samples is necessary for further processing or visualization.",Transform batch latents into unified grid layout.,"['Diffusion', 'Latent']",table-cells-large
FromListGet1Cond,comfyui_bmad_nodes,FromListGet1Cond,Select List Item,"This node is designed to extract a single conditioning element from a list based on a specified index. It enables selective access to conditioning data within a list, facilitating operations that require individual manipulation or inspection of conditioning elements.",Extract single element from list by index.,"['Diffusion', 'Conditioning', 'Conditioning']",subscript
SeamlessClone (simple),comfyui_bmad_nodes,SeamlessClone (simple),Easy Image Integrator,"This node provides a simplified interface for performing seamless cloning operations on images, automatically determining the center of the source mask for the cloning process. It leverages the capabilities of a more complex seamless cloning node to offer an easier-to-use option for integrating one image into another with visually coherent results.",Perform seamless cloning operations on images.,"['Image', 'Image Transformation and Manipulation', 'ImageComposite']",photo-film
Framed Mask Grab Cut,comfyui_bmad_nodes,Framed Mask Grab Cut,Frame-Enhanced Image Segmenter,"The Framed Mask Grab Cut node is designed to apply the GrabCut algorithm with additional framing options to segment the foreground from the background in images. It allows for the specification of probable and sure foreground and background areas, and incorporates frame options to exclude certain margins from consideration, enhancing the flexibility and accuracy of the segmentation process.",Apply GrabCut with framing for image segmentation.,"['Segmentation', 'Masks']",scissors
AdaptiveThresholding,comfyui_bmad_nodes,AdaptiveThresholding,Dynamic Threshold Adjuster,"The AdaptiveThresholding node applies adaptive thresholding techniques to images, dynamically adjusting the threshold value over different regions of the image based on local image characteristics. This method is particularly useful for images with varying lighting conditions, enhancing the ability to distinguish foreground from background.",Apply adaptive thresholding to images.,"['Image', 'Image Transformation and Manipulation', 'ImageThresholding']",chess-board
RemapInsideParabolas,comfyui_bmad_nodes,RemapInsideParabolas,Parabola Image Transformer,"This node is designed for remapping images based on the geometry of two parabolas within a given mask. It adjusts the image's pixels to align or distort according to these parabolas, enabling advanced image transformation techniques that can simulate or correct specific optical effects.",Remap images using parabola-based geometry.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",vector-square
ToImageList,comfyui_bmad_nodes,ToImageList,Convert To Image List,"The ToImageList node is designed to convert a collection of images into a standardized list format. This functionality is essential for processing multiple images in a uniform manner, enabling easier manipulation, analysis, and application of image-based operations across the entire collection.",Convert images into a standardized list format.,"['Data', 'Data Conversion and Manipulation']",photo-film
OtsuThreshold,comfyui_bmad_nodes,OtsuThreshold,Auto Image Separator,The OtsuThreshold node applies Otsu's thresholding method to an image to separate the foreground from the background. It optionally preprocesses the image with Gaussian blur to reduce noise and improve the thresholding result.,Apply Otsu's thresholding to separate image foreground.,"['Image', 'Image Transformation and Manipulation', 'ImageThresholding']",file-image
RGB to HSV,comfyui_bmad_nodes,RGB to HSV,RGB To HSV Converter,"The node converts RGB color values to HSV color space, facilitating color transformations and analysis by separating color hue, saturation, and value. This conversion is essential for tasks that require color space manipulation or analysis, such as image processing and computer vision applications.",Convert RGB colors to HSV space.,"['Image', 'Color and Channels', 'Color']",vector-square
String,comfyui_bmad_nodes,String,String Pass-Through,"The String node is designed to simply pass through the input string it receives without modification. This node serves as a straightforward utility within a larger processing pipeline, allowing for the direct transfer of string data from one node to another.",Pass through input strings unmodified.,"['Data', 'Data Types', 'String']",terminal
FromListGet1Float,comfyui_bmad_nodes,FromListGet1Float,Extract Single Float From List,"The `FromListGet1Float` node is designed to retrieve a single float value from a list based on a specified index. It allows for random access within the list, including the use of negative indices to access elements in reverse order, thereby enhancing flexibility in data manipulation.",Retrieve float from list by index.,"['Data', 'Data Conversion and Manipulation', 'DataConversion']",rectangle-list
ExtendFloatList,comfyui_bmad_nodes,ExtendFloatList,Concatenate Float Lists,"The ExtendFloatList node is designed to concatenate multiple lists of floating-point numbers into a single, extended list. This functionality is particularly useful in scenarios where aggregation of data from various sources is required, allowing for a streamlined and efficient handling of numerical data collections.",Concatenate multiple floating-point lists.,"['Data', 'Data Conversion and Manipulation']",rectangle-list
LoraLoader (dirty),comfyui_bmad_nodes,LoraLoader (dirty),Dynamic LoRA Loader,"The LoraLoader (dirty) node is designed to dynamically load LoRA (Low-Rank Adaptation) parameters into models and CLIP instances, allowing for the customization and fine-tuning of these components based on specified LoRA files and strength parameters. It serves as a bridge between static model states and adaptable, performance-enhanced versions tailored to specific tasks or datasets.",Load LoRA parameters into models for customization.,"['Model', 'Loading', 'LoRA']",gears
Contours,comfyui_bmad_nodes,Contours,Contour Extractor,"The Contours node is designed to identify and extract contours from an image based on specified retrieval and approximation modes. It converts the input image to grayscale, applies thresholding if necessary, and utilizes OpenCV's findContours method to detect contours, providing a foundational step for further image analysis or manipulation.",Identify and extract image contours.,"['Detectors', 'Utils', 'Contour']",vector-square
InRange (hsv),comfyui_bmad_nodes,InRange (hsv),Color Range Filter,"The InRangeHSV node is designed to filter an image based on a specified range of hue, saturation, and value (HSV) parameters. It allows for the dynamic selection of color ranges within an image, facilitating tasks such as color segmentation and object detection by identifying pixels that fall within the given HSV bounds.",Filter image by HSV range for color segmentation.,"['Image', 'Color and Channels', 'Color']",palette
ExtendCondList,comfyui_bmad_nodes,ExtendCondList,Extend Conditioning List,"The ExtendCondList node is designed to extend a list of conditioning elements. It allows for the addition of new conditioning elements to an existing list, facilitating the dynamic expansion of conditioning data used in various computational models or processes.",Extend list of conditioning elements dynamically.,"['Diffusion', 'Conditioning', 'Conditioning']",clipboard-list
ExtendStringList,comfyui_bmad_nodes,ExtendStringList,String List Merger,"The ExtendStringList node is designed to concatenate multiple lists of strings into a single, extended list. This node is particularly useful in scenarios where aggregation of string data from various sources is required, facilitating operations that involve the manipulation or analysis of collective string datasets.",Concatenate multiple lists of strings.,"['Data', 'Data Conversion and Manipulation']",code-merge
Contour To Mask,comfyui_bmad_nodes,Contour To Mask,Convert Contour To Mask,"The Contour To Mask node transforms a given contour into a mask on the specified image, allowing for the visualization or application of contours in image processing tasks. It supports customization of the output image format.",Transform contours into masks on images.,"['Segmentation', 'Masks']",mask
ToIntList,comfyui_bmad_nodes,ToIntList,Integer Aggregator,"The `ToIntList` node is designed to aggregate multiple integer inputs into a single list. This functionality is essential for scenarios where a collection of integers needs to be processed or manipulated as a single entity, streamlining operations that involve multiple integer values.",Aggregate multiple integers into a single list.,"['Data', 'Data Types', 'List']",list-ol
RemapStretch,comfyui_bmad_nodes,RemapStretch,Image Stretch Transformer,"The RemapStretch node is designed to apply a stretching transformation to images based on specified power factors along the x and y axes, and a center point around which the stretch is applied. This node allows for the dynamic adjustment of image geometry to simulate effects such as stretching or elongation, providing a versatile tool for image manipulation and enhancement.",Apply stretching transformations to images dynamically.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",vector-square
Color Clip (advanced),comfyui_bmad_nodes,Color Clip (advanced),Color Manipulator (Adv.),"The Color Clip (advanced) node is designed for advanced color manipulation within images, allowing for precise color clipping and replacement based on a set of advanced parameters. It extends basic color clipping capabilities by offering additional control over the color adjustment process, enabling users to specify alternative colors and adjust the leeway for color matching.",Perform advanced color manipulation in images.,"['Image', 'Color and Channels', 'Color']",photo-film
Merge Latent Batch Gridwise,comfyui_bmad_nodes,Merge Latent Batch Gridwise,Batch Grid Merger,"This node is designed to merge a batch of latent representations into a single grid layout, utilizing specified rows and columns to organize the batch elements spatially. It aims to facilitate the visualization or further processing of batches by structuring them in a grid format, making it easier to handle and interpret the collective data.",Merge batch of representations into a grid layout.,"['Diffusion', 'Latent']",table-cells
RemapFromQuadrilateral (homography),comfyui_bmad_nodes,RemapFromQuadrilateral (homography),Perspective Corrector,"The RemapFromQuadrilateral node is designed for transforming images based on a source mask that defines a quadrilateral region. It primarily utilizes a homography transformation to map the specified quadrilateral region from the source image to a target rectangular shape, adjusting the image accordingly. This node is particularly useful for correcting or altering the perspective of an image region defined by four points.",Transform images by mapping quadrilaterals to rectangles.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",crop-simple
Conditioning Grid (cond),comfyui_bmad_nodes,Conditioning Grid (cond),Text-Conditioned Grid Layout,"This node is designed to apply conditioning to a grid layout, where each cell within the grid can be individually conditioned based on text inputs. It automates the process of encoding text inputs using a CLIP model and then applying these encoded conditionings to specific areas within a grid, facilitating the generation of complex, grid-based visual layouts with varied content.",Apply text-based conditioning to grid layouts.,"['Diffusion', 'Conditioning', 'Conditioning']",list-ul
AdjustRect,comfyui_bmad_nodes,AdjustRect,Rectangle Resizer,"The AdjustRect node is designed to modify the dimensions of a rectangle based on specified parameters, ensuring the new rectangle adheres to certain constraints like center alignment and size adjustments. It abstracts the complexity of geometric transformations, offering a straightforward way to recalibrate rectangle dimensions for various applications.",Modify rectangle dimensions with constraints.,"['Image', 'Image Transformation and Manipulation']",vector-square
ToModelList,comfyui_bmad_nodes,ToModelList,Model Aggregator,"The `ToModelList` node is designed to aggregate multiple model-related inputs into a single list. This functionality is essential for operations that require handling a collection of models simultaneously, such as batch processing or model comparison tasks. It abstracts away the complexity of managing multiple inputs by providing a streamlined way to group them together.",Aggregate multiple model inputs into a list.,"['Model', 'Loading', 'Model']",clipboard-list
RemapInsideParabolasAdvanced,comfyui_bmad_nodes,RemapInsideParabolasAdvanced,Parabola Image Mapper (Adv.),"This node specializes in adjusting the mapping of images based on the geometry of two parabolas within a given mask. It allows for fine-tuning the remapping process through curve and orthogonal adjustments, as well as the option to flip the orthogonal direction, enhancing flexibility in image processing tasks that require precise spatial transformations.",Adjust image mapping using parabola geometry.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",vector-square
Load 64 Encoded Image,comfyui_bmad_nodes,Load 64 Encoded Image,Decode Base64 Image,"This node is designed to decode and process a base64-encoded image, converting it into a tensor representation suitable for further image processing tasks. It emphasizes the transformation of encoded image data into a standardized format that can be seamlessly integrated into image analysis and manipulation workflows.",Decode base64-encoded images into tensors.,"['Input', 'Image']",vector-square
ExtendImageList,comfyui_bmad_nodes,ExtendImageList,Image List Expander,"The ExtendImageList node is designed to extend an existing list of images with additional images. It focuses on aggregating multiple image resources into a single, comprehensive collection, facilitating operations that require bulk image data management.",Aggregate multiple images into a single collection.,"['Data', 'Data Types', 'List']",file-image
ControlNetHadamard,comfyui_bmad_nodes,ControlNetHadamard,Dynamic Image Conditioner,"This node applies a control network to a set of images and conditions, modulating the latter based on the control network's output and a specified strength. It's designed to integrate control network effects into image conditioning, allowing for dynamic adjustments to the conditioning process.",Apply control network effects to image conditioning.,"['Controls', 'ControlNet', 'ControlNet']",camera-rotate
Repeat Into Grid (image),comfyui_bmad_nodes,Repeat Into Grid (image),Image Grid Generator,"This node tiles input image samples into a grid of configurable dimensions, effectively repeating the input image across a specified number of rows and columns to create a larger, grid-like composite image.",Tile images into a configurable grid.,"['Image', 'Image Transformation and Manipulation']",border-all
Remap,comfyui_bmad_nodes,Remap,Image Remapper,"The `Remap` node serves as a foundational class for various image remapping operations, providing a base structure and common functionalities for specialized remapping transformations. It abstracts the core mechanisms needed to perform complex image geometry alterations, enabling derived classes to implement specific remapping effects such as distortion correction, perspective adjustments, and custom image warping techniques.",Perform complex image geometry alterations.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",diagram-predecessor
Inpaint,comfyui_bmad_nodes,Inpaint,Image Repair,"The Inpaint node is designed to reconstruct the missing or damaged parts of images using a specified inpainting technique. It leverages computer vision algorithms to fill in gaps or remove unwanted objects from images, based on the surrounding pixel information.",Reconstruct missing or damaged image parts.,"['Diffusion', 'Inpaint', 'Inpaint']",camera-rotate
MonoMerge,comfyui_bmad_nodes,MonoMerge,Monochrome Blender,"The MonoMerge node is designed to merge two images into a monochromatic image based on a target color scheme (either towards white or black). This process involves comparing the luminance (L component) of corresponding pixels from both images and selecting the higher or lower value depending on the target, resulting in an image that emphasizes either the lighter or darker aspects of the combined images.",Merge two images into a monochromatic image.,"['Image', 'Image Transformation and Manipulation']",file-image
Framed Mask Grab Cut 2,comfyui_bmad_nodes,Framed Mask Grab Cut 2,Enhanced Foreground Segmenter,"This node applies the GrabCut algorithm with an enhanced framing mechanism to segment the foreground from the background in images. It allows for more precise control over the segmentation process by incorporating options to ignore certain areas as probable background, thereby improving the accuracy of the mask generated.",Apply enhanced GrabCut algorithm for image segmentation.,"['Segmentation', 'Masks']",vector-square
SeamlessClone,comfyui_bmad_nodes,SeamlessClone,Seamless Image Merger,"The SeamlessClone node is designed for blending two images together in a seamless manner, using various cloning modes to achieve different visual effects. It allows for precise control over the blending process by specifying the source and destination images, a mask to define the blend area, and the position for blending, along with the choice of cloning mode.",Blend two images seamlessly with adjustable modes.,"['Image', 'Image Transformation and Manipulation', 'ImageBlend']",file-image
Get Models,comfyui_bmad_nodes,Get Models,Model File Organizer,"The Get Models node is designed to facilitate the retrieval and organization of various model-related files within a specified output directory. It supports a flexible selection mechanism, allowing users to specify which types of model files (e.g., checkpoints, configurations, embeddings) they wish to dump, either individually or collectively, into a structured JSON file. This functionality aids in managing and cataloging model assets for easier access and reference.",Retrieve and organize model-related files efficiently.,"['Model', 'Loading', 'Model']",folder-open
ExtendMaskList,comfyui_bmad_nodes,ExtendMaskList,Mask List Aggregator,"The ExtendMaskList node is designed to extend a list of masks, allowing for the aggregation of multiple mask elements into a single, comprehensive list. This functionality is crucial for operations that require the manipulation or analysis of multiple masks simultaneously, providing a streamlined approach to handling mask data in bulk.",Aggregate multiple masks into a single list.,"['Segmentation', 'Masks', 'Mask']",mask
Save Image (api),comfyui_bmad_nodes,Save Image (api),Hexdigest Image Saver,"The Save Image node is designed to persist images to disk without including any metadata, using a unique hexdigest-based filename. It is typically used in workflows where the final output needs to be stored efficiently and metadata preservation is not required. The output from this node is often used to signal the completion of a request or task.",Persist images to disk with unique filenames.,"['Output', 'Image', 'ImageSave']",folder-open
FromListGet1Mask,comfyui_bmad_nodes,FromListGet1Mask,List Mask Selector,"The node is designed to retrieve a specific item from a list of masks based on the provided index. It supports random access, including the use of negative indices to access items from the end of the list.",Retrieve specific item from list by index.,"['Segmentation', 'Masks', 'Mask']",rectangle-list
FromListGet1Model,comfyui_bmad_nodes,FromListGet1Model,Select Model By Index,"The node 'FromListGet1Model' is designed to extract a single model from a list of models based on a specified index. It enables selective retrieval from a collection, facilitating focused operations on a particular model of interest.",Extract single model from list by index.,"['Model', 'Loading', 'Model']",subscript
Color Clip ADE20k,comfyui_bmad_nodes,Color Clip ADE20k,ADE20K Color Transformer,"The Color Clip ADE20k node is designed to modify the color palette of an image based on the ADE20K dataset, allowing for the clipping of image colors to a specific class color from the dataset. It extends the functionality of a base color clipping operation by incorporating ADE20K-specific color mappings, enabling targeted color transformations for image processing tasks.",Modify image colors using ADE20K dataset mappings.,"['Image', 'Color and Channels', 'Color']",image
FromListGet1Int,comfyui_bmad_nodes,FromListGet1Int,List Integer Extractor,"This node is designed to retrieve a single integer value from a list based on a specified index. It allows for flexible access to list elements, including support for negative indexing to access elements from the end of the list.",Retrieve integer from list by index.,"['Data', 'Data Conversion and Manipulation']",subscript
